,precision,recall,f1-score,support
AnnualCrop,0.6649746192893401,0.8733333333333333,0.7550432276657061,300.0
Forest,0.9188311688311688,0.9433333333333334,0.930921052631579,300.0
HerbaceousVegetation,0.7354085603112841,0.63,0.6786355475763016,300.0
Highway,0.5118483412322274,0.432,0.4685466377440347,250.0
Industrial,0.8871595330739299,0.912,0.8994082840236687,250.0
Pasture,0.6188340807174888,0.69,0.6524822695035462,200.0
PermanentCrop,0.6729857819905213,0.568,0.6160520607375272,250.0
Residential,0.8912386706948641,0.9833333333333333,0.9350237717908082,300.0
River,0.5780590717299579,0.548,0.5626283367556468,250.0
SeaLake,0.959409594095941,0.8666666666666667,0.9106830122591943,300.0
accuracy,0.7562962962962962,0.7562962962962962,0.7562962962962962,0.7562962962962962
macro avg,0.7438749421966724,0.7446666666666667,0.7409424200688013,2700.0
weighted avg,0.754532882265532,0.7562962962962962,0.7519434323307427,2700.0
